http://data.europa.eu/esco/skill/342212c7-5650-4dbd-b7ad-18a6aee8e567,handle tour contract details,Organisational skills
http://data.europa.eu/esco/skill/eb2d56cf-4689-43d9-88c6-775c7bf6596d,assist social service users in formulating complaints,Provide social help 
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,provide humanitarian aid,Distribute physical aid 
http://data.europa.eu/esco/skill/094e594d-83cc-4480-bad8-fae0ec2ed8ab,assist guest departure,Manage people logistically 
http://data.europa.eu/esco/skill/0c9fdeaa-7b3a-480b-b6cc-757f1dfb5f0f,assist students with library operations,Organisational skills
http://data.europa.eu/esco/skill/15a828a2-84a9-493c-81d2-a80a220c8da7,provide athletic equipment to clients,Tending to guest needs
http://data.europa.eu/esco/skill/1b45b91c-0949-45cf-a6d8-040a62423060,monitor guest access,Tending to guest needs
http://data.europa.eu/esco/skill/22c3b4ff-e2e0-4b40-8f3d-17788c0df295,assist in the practical actions for developing marketing campaigns,Organisational skills
http://data.europa.eu/esco/skill/248951cc-3b10-447f-a4b2-0037e6e7a9ab,handle patients with special needs,Work with special needs
http://data.europa.eu/esco/skill/25c0b413-f474-42fa-be01-20289d2634c4,deal with arrivals in accommodation,Manage people logistically 
http://data.europa.eu/esco/skill/26a6e6d2-1c9a-4d7e-8c04-5ba16d1f53da,greet guests,Socialising with people
http://data.europa.eu/esco/skill/26b411ec-271a-4317-8315-74ceccfbba84,welcome spectators,Socialising with people
http://data.europa.eu/esco/skill/38efd8de-d313-4aa5-abc0-cefa5ec64002,assist amusement park visitors,Provide assistance to people
http://data.europa.eu/esco/skill/3a6890c4-0820-475f-8242-e801194c3b3e,coordinate passengers,Manage people logistically 
http://data.europa.eu/esco/skill/496fd702-885e-488c-a48a-27e0ab692292,assist VIP guests,Tending to guest needs
http://data.europa.eu/esco/skill/54f8cc6e-7499-4062-949b-ab616b8efd26,ensure passenger comfort,Tending to guest needs
http://data.europa.eu/esco/skill/580e21c2-565f-4a91-a90c-83a58564638e,welcome tour groups,Socialising with people
http://data.europa.eu/esco/skill/61970f8b-099c-4e7e-82e0-9ccdced0baf3,assist customers,Provide assistance to people
http://data.europa.eu/esco/skill/64f2c90c-4144-418e-82c6-3150e03d29a3,assess customers,Socialising with people
http://data.europa.eu/esco/skill/678c18a3-861b-4967-8288-2e409d4e0ee3,assist at check-in,Provide assistance to people
http://data.europa.eu/esco/skill/6e4f29f5-3904-4e1e-9c5f-c158c5e197bf,assist visitors,Provide assistance to people
http://data.europa.eu/esco/skill/74a5e8b1-dc44-4a03-b4f2-ad06966128c6,assist with personal administration issues,Provide assitance to people
http://data.europa.eu/esco/skill/7c32a84c-2733-4bc7-8909-3b3413c9cc88,make logistical arrangements,Organisational skills
http://data.europa.eu/esco/skill/810b7858-fb19-4c61-b05a-7cd04bb61336,manage lost and found articles,Organisational skills
http://data.europa.eu/esco/skill/8488927c-e4ba-4781-8b97-453ca50e7552,assist passengers,Provide assistance to people
http://data.europa.eu/esco/skill/89ebe683-b456-4e23-ac10-46ee4ab399dd,provide directions to guests,Provide information clearly
http://data.europa.eu/esco/skill/8a55f0d9-e0d3-4303-872c-0547bd25109e,tend to passenger belongings,Tending to guest needs
http://data.europa.eu/esco/skill/99b95aca-221d-415c-9de5-564e1a273701,welcome restaurant guests,Welcome guests
http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb,meet commitments in hospitality,Welcome guests
http://data.europa.eu/esco/skill/b5a8ce01-a4ae-43c1-b4e4-c44be6804691,distribute meals to patients,Serve guests
http://data.europa.eu/esco/skill/b6b2e665-1085-4f4d-9973-e979721815d7,assist clients with special needs,Work with special needs
http://data.europa.eu/esco/skill/b83669f2-bf53-47ed-af9f-397c5f2dfd4d,deal with departures in accommodation,Manage people logistically 
http://data.europa.eu/esco/skill/bcb02777-45be-4166-9448-74a15b6f8136,assist children with special needs in education settings,Work with special needs
http://data.europa.eu/esco/skill/dffead66-27f4-4eb6-83e6-ad150bc8ee54,assist passenger embarkation,Manage people physically 
http://data.europa.eu/esco/skill/f0318969-d484-4065-87d3-90f71c63e51e,assist customers with self-service ticketing machines,Provide assistance to people
http://data.europa.eu/esco/skill/78affa10-50af-4f02-8e16-a90b7ed84279,ensure product preparation,Monitor preparation activities
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,assess nutritional characteristics of food,Assess nutritional properties
http://data.europa.eu/esco/skill/0eece926-f1a3-4b65-9b99-a35e4c0eb835,care for food aesthetic,Care for food detail
http://data.europa.eu/esco/skill/1316577b-31f7-437f-97ce-27c408b87a55,prepare dairy products for use in a dish,"Prepare meat; fish; eggs and dairy products"
http://data.europa.eu/esco/skill/14f6c275-5a3c-4016-8be0-53c40b4bfbc5,operate a heat treatment process,Operate cooking equipment
http://data.europa.eu/esco/skill/15d5041a-4ff3-4527-ba5c-2445a4fd044a,cook pastry products,Prepare desserts
http://data.europa.eu/esco/skill/1f6b05c1-e314-4ae6-b6ef-d469667e8961,prepare canap̩s,Prepare finger food
http://data.europa.eu/esco/skill/213873ff-2b1e-47ce-bd00-84fe82864449,slice fish,"Prepare meat; fish; eggs and dairy products"
http://data.europa.eu/esco/skill/21d5f9c6-c35d-4c70-bbc5-f32cbd7b2500,ensure refrigeration of food in the supply chain,Monitor preparation activities
http://data.europa.eu/esco/skill/23b355ee-94db-4831-b16d-935adc5de1cd,prepare meat products for use in a dish,"Prepare meat; fish; eggs and dairy products"
http://data.europa.eu/esco/skill/24c4beb4-429c-4cd1-b0bd-c04ba4c82e13,prepare orders,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/2846ad39-6535-48cf-a4c4-64f0ae9066c1,identify nutritional properties of food,Assess nutritional properties
http://data.europa.eu/esco/skill/298ead56-f11b-4c5d-a4d9-282f7a1489b6,prepare pizza,Prepare finger food
http://data.europa.eu/esco/skill/32adf439-5bbc-4759-8f05-fbaacdac60a6,handle kitchen equipment according to the requirements,Operate cooking equipment
http://data.europa.eu/esco/skill/39a8498f-87e3-4923-817c-3f5835a64bd2,prepare saucier products for use in a dish,Prepare sauces and dressings
http://data.europa.eu/esco/skill/42df8703-d69f-4b27-a75f-9e7f0299ceb7,prepare fruit ingredients for use in beverages,Prepare beverages
http://data.europa.eu/esco/skill/493a1805-6caa-4cda-8fd3-6495ec8ea451,prepare sandwiches,Prepare finger food
http://data.europa.eu/esco/skill/499ca9ec-801f-48b9-9f33-a4c16eabd835,prepare salad dressings,Prepare sauces and dressings
http://data.europa.eu/esco/skill/4b15a965-9bb4-42f1-8e44-1024aeb0b08c,use food preparation techniques,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/4cca4ccf-b956-4561-af8e-151b66af9631,cook seafood,Cook meat and fish
http://data.europa.eu/esco/skill/555d83ff-dbf9-481a-b726-2d502a11904e,cook vegetable products,Cook vegetables and dairy products
http://data.europa.eu/esco/skill/5badb272-c27b-4c92-bd68-713cef631149,prepare meals for flights,Prepare finger food
http://data.europa.eu/esco/skill/614478b3-51a2-4a55-b3ef-a932105eaeaf,cook sauce products,Cook pasta and sauces
http://data.europa.eu/esco/skill/6b6babbe-2243-4772-9f8b-daa4c43c92a0,prepare dietary meals,Assess nutritional properties
http://data.europa.eu/esco/skill/70dce910-ea3e-47ba-9c36-012b9ca214c7,preserve regional sweet traditions,Preserve regional sweet traditions
http://data.europa.eu/esco/skill/73b97efd-49fe-49d7-89dd-444f870cd210,prepare vegetable products for use in a dish,Prepare fruit and vegetables
http://data.europa.eu/esco/skill/74c87070-7e00-4be5-9dde-5083bb9ce5c0,pair beer with food,Pair food with beverages
http://data.europa.eu/esco/skill/79c96922-6032-40d6-b391-0f4a0d85e620,make artistic food creations,Care for food detail
http://data.europa.eu/esco/skill/80ec44cc-372a-4dc6-ab36-7ffdbf3bfc4e,prepare garnish for drinks,Prepare beverages
http://data.europa.eu/esco/skill/81d5b408-e805-4788-8dbd-42f22e8fd199,prepare mixed beverages,Prepare beverages
http://data.europa.eu/esco/skill/88f649ef-eecc-452e-8f50-197cb07eb58c,core apples,Prepare fruit and vegetables
http://data.europa.eu/esco/skill/8bb1e784-f54f-48dd-aedd-23723e171898,direct the preparation of food,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/a02d7f88-a240-4644-911b-169af470be5a,use reheating techniques,Operate cooking equipment
http://data.europa.eu/esco/skill/a37afd64-1022-48ba-a8e7-e41b29fe056e,prepare specialised coffee,Prepare specialised coffee
http://data.europa.eu/esco/skill/a78b60d6-6cde-4da6-9c48-39bc7396ab16,prepare desserts,Prepare desserts
http://data.europa.eu/esco/skill/b72395ea-623b-4204-abef-a67592b0781a,prepare ready-made dishes,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/bb84d739-1b06-477b-9195-251650bb3c14,use culinary finishing techniques,Care for food detail
http://data.europa.eu/esco/skill/bc63a8dc-a944-44bf-a89b-4922f0642ce6,prepare simple meals on board,Prepare finger food
http://data.europa.eu/esco/skill/bea04ae5-1f6c-4ceb-b5a6-3bfe2482158a,handle bar equipment,Prepare beverages
http://data.europa.eu/esco/skill/ce37e233-64c4-4b48-a09a-04ec08fb9740,ensure correct use of bakery equipment,Operate cooking equipment
http://data.europa.eu/esco/skill/cfcc2266-a578-4300-93ce-ce7860c7398c,monitor temperature in manufacturing process of food and beverages,Operate cooking equipment
http://data.europa.eu/esco/skill/d01ea580-9718-4299-a6fd-08ea6d171a1b,cook fish,Cook meat and fish
http://data.europa.eu/esco/skill/d6f48dbb-057e-41b2-a59a-d6b86b5aa884,bake pastry for special events,Care for food detail
http://data.europa.eu/esco/skill/d9895150-fbb5-42ec-8087-8e5d7ed5fcf3,prepare alcoholic beverages,Prepare beverages
http://data.europa.eu/esco/skill/db654e8e-255c-4f63-a7c7-ed18b8f41a0e,prepare fruits and vegetables for pre-processing,Prepare fruit and vegetables
http://data.europa.eu/esco/skill/ddc36f84-968f-4ac5-b687-bb2ea787f2f0,prepare infant formulae,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/e14472b6-6b74-4289-9aa4-903abf58b4f7,prepare pasta,Cook pasta and sauces
http://data.europa.eu/esco/skill/e4fb4f26-1c0c-45e4-9250-5be32cee2a48,prepare hot drinks,Prepare beverages
http://data.europa.eu/esco/skill/e603669a-dd2b-4309-9e20-57f61967ba03,cook dairy products,Cook vegetables and dairy products
http://data.europa.eu/esco/skill/f19f0cda-73f4-417e-8ec9-c0cacf5e7149,cook meat dishes,Cook meat and fish
http://data.europa.eu/esco/skill/f3934441-4bff-4076-9945-e6c51a01c467,use cooking techniques,Operate cooking equipment
http://data.europa.eu/esco/skill/fad85f11-e21d-41f4-b221-2f8ab318d4ed,prepare egg products for use in a dish,"Prepare meat; fish; eggs and dairy products"
http://data.europa.eu/esco/skill/fd728a62-6be0-4874-9d68-5946b87f29da,prepare flambeed dishes,Prepare flambeed dishes
http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,select glassware for serving,Maintain tables clean and ready
http://data.europa.eu/esco/skill/03353964-657a-4737-9afc-1ca9ec04195b,inspect table settings,Maintain tables clean and ready
http://data.europa.eu/esco/skill/113d5db5-4fb4-418c-a4e0-2f01a71b26a1,ensure tableware is ready for use,Maintain tables clean and ready
http://data.europa.eu/esco/skill/2c361834-286f-4345-89e4-c0bfefc78819,give advice on the matching of food with wine,Pair food with beverages
http://data.europa.eu/esco/skill/42a6eff0-e9d9-423d-877b-e48fe91ff26f,serve food in table service,Serve guests
http://data.europa.eu/esco/skill/44773391-78b7-4500-b421-96a9ca622a99,serve wines,Serve guests
http://data.europa.eu/esco/skill/4eaab846-38fb-4a81-9406-204f95280525,set up the coffee area,Maintain tables clean and ready
http://data.europa.eu/esco/skill/906d21c9-7a9c-4919-817d-10676f9ddfe4,arrange tables,Maintain tables clean and ready
http://data.europa.eu/esco/skill/9fcfddf2-6f79-4452-a642-066dc55ddcbb,decant wines,Prepare beverages
http://data.europa.eu/esco/skill/a5acf4ab-767c-42cc-b9ae-b4a11faa198f,prepare service trolleys,Conduct basic preparatory activities
http://data.europa.eu/esco/skill/a7478d09-585e-4fac-9ee0-14755f4afa48,setup the bar area,Maintain tables clean and ready
http://data.europa.eu/esco/skill/beeaddc7-fe69-4b97-a286-0bd595432eb9,serve beverages,Serve guests
http://data.europa.eu/esco/skill/c011d9ef-b3f1-4f48-8d1b-9cdd288a4f55,prepare the restaurant for service,Maintain tables clean and ready
http://data.europa.eu/esco/skill/eae7d1fd-8011-476e-9762-200d4162f957,serve beers,Serve guests
http://data.europa.eu/esco/skill/ecb34d35-867f-4b7e-97cb-0ff2f1710857,provide food and beverages,Serve guests
