private chef,http://data.europa.eu/esco/occupation/a256838b-0843-4ad2-a2fb-4531f94e63d8
pasta operator,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8
bicycle courier,http://data.europa.eu/esco/occupation/3a959644-beed-4afc-8e57-d5068ae6a43e
baker,http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419
domestic butler,http://data.europa.eu/esco/occupation/74cbe6fb-336f-4f3f-8c8f-7645b279a231
disability support worker,http://data.europa.eu/esco/occupation/9c55aa23-e3f2-4c00-8c90-5ed5204951a3
tour operator representative,http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950
lottery operator,http://data.europa.eu/esco/occupation/d18a8976-a283-42ad-9541-75c49396dbd7
veterinary receptionist,http://data.europa.eu/esco/occupation/f00154a5-d27f-429e-b9a4-1d65c672cee7
tourist animator,http://data.europa.eu/esco/occupation/8cc90646-fc23-445f-a95f-e28e6b5d5a05
hotel concierge,http://data.europa.eu/esco/occupation/1ae8d28e-407c-48ab-88ff-4cb25bfcdea6
post office counter clerk,http://data.europa.eu/esco/occupation/6a6e174e-cffa-49a9-9f2f-aa39c81cdee5
confectioner,http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd
blogger,http://data.europa.eu/esco/occupation/ac80b511-fd22-4edf-8570-e531704778bd
sales processor,http://data.europa.eu/esco/occupation/73357956-f607-4baa-9ce6-03beb9b39da2
kitchen assistant,http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c
community care case worker,http://data.europa.eu/esco/occupation/85482504-c83d-4038-80d9-265198d18b48
child care worker,http://data.europa.eu/esco/occupation/3413f234-6230-47a8-8cc7-2691fd54ce3a
night auditor,http://data.europa.eu/esco/occupation/6e6e44ba-d9f0-403b-93d4-a8d4bd67787a
family social worker,http://data.europa.eu/esco/occupation/95d0a616-a4a9-4f56-a8fb-4de43cdb4c82
crossing guard,http://data.europa.eu/esco/occupation/12da0bb1-26c8-46eb-9476-797f4f1c441e
vlogger,http://data.europa.eu/esco/occupation/51ec004e-aec8-4f89-b114-952bcc56b0b0
bed and breakfast operator,http://data.europa.eu/esco/occupation/2171a849-4065-411c-8390-835b7782ed8b
