rental service representative in personal and household goods,http://data.europa.eu/esco/occupation/2bedd02b-aeeb-4ed8-b1ae-29a706638414,
rental service representative in agricultural machinery and equipment,http://data.europa.eu/esco/occupation/b972feaa-e2a6-4b22-9de4-18040f3f04eb,
aeronautical information specialist,http://data.europa.eu/esco/occupation/f470b785-643c-46f9-8b31-6085427ab7b8,
passenger fare controller,http://data.europa.eu/esco/occupation/7720f392-6ea0-4455-a805-7b7eef38a709,
rental service representative in machinery, equipment and tangible goods,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1
technical sales representative in the textile machinery industry,http://data.europa.eu/esco/occupation/d19932b3-169a-4cdf-a9cd-bdf8857b0184,
rental service representative in trucks,http://data.europa.eu/esco/occupation/a1da839e-9b70-4032-bb83-820790e77003,
lottery cashier,http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6,
tour operator representative,http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950,
locker room attendant,http://data.europa.eu/esco/occupation/1f1a45a8-8f5c-4b66-a8a1-e02490addc55,
technical sales representative in machinery and industrial equipment,http://data.europa.eu/esco/occupation/b6f4573d-659f-49ca-a885-850a48d01913,
move manager,http://data.europa.eu/esco/occupation/8f928d49-da89-4d07-9123-2151a4d276d4,
financial trader,http://data.europa.eu/esco/occupation/60bc7374-9fa1-4bbd-b936-2676fca0bfb6,
interior landscaper,http://data.europa.eu/esco/occupation/98af7387-3974-457a-aa57-5397d1ea3949,
rental service representative,http://data.europa.eu/esco/occupation/3900b684-6b4b-4133-b134-e1d129d60383,
car leasing agent,http://data.europa.eu/esco/occupation/38395ab3-766c-4c6c-8d96-430eff19ec8d,
telecommunications analyst,http://data.europa.eu/esco/occupation/c5d36eef-df20-47a8-a332-5b4358fa83e3,
kennel supervisor,http://data.europa.eu/esco/occupation/bc1748c7-29d6-43d5-a304-6b74f317ac26,
construction general contractor,http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a,
ICT help desk manager,http://data.europa.eu/esco/occupation/1242d99a-47f1-4a62-b884-33746db8a6ca,
swimming facility attendant,http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9,
rental service representative in recreational and sports goods,http://data.europa.eu/esco/occupation/a527f263-0feb-4d55-b416-0577e9dc7847,
insurance clerk,http://data.europa.eu/esco/occupation/9a39a143-d93c-4093-ba3b-47fb67ade318,
rental service representative in water transport equipment,http://data.europa.eu/esco/occupation/4e7a3641-7bd3-4290-9f0c-0e7ca776fb0e,
ship planner,http://data.europa.eu/esco/occupation/260b01cc-7dd6-4584-8863-cae5426819c6,
delivery driver,http://data.europa.eu/esco/occupation/0c408028-c48f-4df8-ba5d-c3d3be15f5a2,
